Period,InvCapBank,InvResBank,InvComBank,InvComLoan,InvLabBank,InvMacro,ConsumRes,ConsumLab,ConsumCap,Demand,DemandPlan,DemandSurplus,GoodProduction,GoodPrice,Investment,InvestmentRes,InvestmentLab,Repayment,WagesPayment,RepaysPayment,Diff,DividendDecision,DividendPayment,DividendIncome,AccLabBank,AccLabLab,AccLabGood,AccResBank,AccResRes,AccResGood,AccCapBank,AccCapDiv,AccCapGood,AccComBank,AccComLoan,AccComDiv,AccComRes,AccComLab,AccComGood,AccBankComLoan,AccBankComBank,AccBankLabBank,AccBankResBank,AccBankCapBank
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.168332304523204,30.0,260.0,208.0,52.0,26.0,0.0,0.0,52.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,166.4,0.0,0.0,166.4,117.0,49.400000000000006,1.0,141.7,289.49022148740454,231.59217718992363,57.89804429748091,28.949022148740454,52.0,26.0,138.49804429748093,41.57470664462214,7.8,7.8,0.0,100.0,0.0,208.0,91.68,0.0,0.0,7.8,0.0,52.0,260.0,7.8,8.32,0.0,31.168332304523204,260.0,52.0,0.0,208.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,218.55374175193893,49.4,4.68,272.63374175193894,247.27059966933206,25.363142082606885,3.200705013355776,89.9366128641303,275.197523208496,220.15801856679684,55.03950464169921,27.5197523208496,109.89804429748091,54.949022148740454,121.25147330279447,94.38693871441154,41.57470664462214,41.57470664462214,52.0,195.66666666666666,0.0,273.19217718992365,182.41631291240307,1.1743119266055047,7.8,41.57470664462214,0.0,190.49804429748093,523.4902214874046,41.57470664462214,9.263687087596946,4.333333333333333,30.9940203779177,523.4902214874046,190.49804429748093,52.0,273.19217718992365,7.8
3,0.0,0.0,0.0,0.0,0.0,0.0,219.8371632038253,106.87314208260685,26.816823986773283,353.5271292732054,371.10948511315524,-17.582355839949855,4.808942825032824,77.17070021738554,249.45737549429768,199.56590039543815,49.89147509885954,24.94573754942977,164.93754893918012,82.46877446959006,61.62534224888327,133.94360837744264,94.38693871441156,94.38693871441156,112.4980442974809,286.5084963085432,0.5492757446250498,274.7964540047816,273.60999216973124,2.782379999872078,44.69470664462214,94.38693871441156,0.05203664949079419,311.7495176002754,743.7387225471601,94.38693871441156,8.806320742671875,9.15817035812341,31.16332657526721,743.7387225471601,311.74951760027545,112.4980442974809,274.7964540047816,44.69470664462214
4,0.0,0.0,0.0,0.0,0.0,0.0,203.62015295711555,162.03432859635146,67.35889282335624,433.01337437682326,483.36530408558923,-50.351929708765965,6.039524837500339,80.03366441748855,229.9474098206992,183.95792785655937,45.98948196413984,22.99474098206992,214.82902403803965,107.41451201901982,22.815711906460933,152.7723007256326,133.94360837744267,133.94360837744267,170.56245115405417,372.76370056361156,1.4123565221883179,254.52519119639442,365.6273561539137,3.683426822115062,112.26482137226041,133.94360837744267,0.36831473315617824,373.37485984915867,910.7273235718678,133.94360837744267,7.982636015817526,13.744795744931675,31.391163769829674,910.7273235718678,373.3748598491587,170.56245115405417,254.52519119639442,112.26482137226041
5,0.0,0.0,0.0,0.0,0.0,0.0,187.8903728766706,212.18928926595524,107.3097221558081,507.3893842984339,586.8416385049039,-79.45225420647,7.020432583177502,83.59052402427527,212.945852688386,170.35668215070882,42.589170537677205,21.2945852688386,260.8185060021795,130.40925300108975,5.978495107209255,159.37300296832925,152.7723007256326,152.7723007256326,223.35714659574236,454.8612818937749,2.0951949809315877,234.86296609583823,458.2690390396513,3.6492093538273145,178.84953692634684,152.7723007256326,0.9889578904178749,396.1905717556196,1033.2602213735472,152.7723007256326,7.358317114262373,17.90241866983664,32.02029814815964,1033.2602213735472,396.19057175561943,223.35714659574236,234.86296609583823,178.84953692634684
6,0.0,0.0,0.0,0.0,0.0,0.0,173.8634202959012,258.38704516536825,134.5872692977028,566.8377347589721,682.6672722146775,-115.82953745570535,7.830805967678647,87.17714051814853,192.3817925033711,153.9054340026969,38.47635850067422,19.238179250337108,303.4076765398567,151.70383826992833,-9.170424518468053,160.86762674513156,159.37300296832927,159.37300296832927,271.9863633319666,533.1264063935934,2.6431968714689007,217.32927536987648,551.4547717536229,3.342510084561067,224.31211549617132,159.37300296832927,1.6793377851564912,402.16906686282886,1115.7968210608433,159.37300296832927,6.814267286028354,21.734875500181627,32.97079170151261,1115.7968210608433,402.1690668628288,271.9863633319666,217.32927536987648,224.31211549617132
7,0.0,0.0,0.0,0.0,0.0,0.0,157.89703126133776,301.1566449711322,149.45870950007867,608.5123857325486,769.2390788411946,-160.72669310864592,8.459535166758437,90.93160128512771,168.4394347242641,134.75154777941128,33.68788694485282,16.84394347242641,341.88403504053093,170.94201752026544,-31.4934066285266,157.19945693774434,160.8676267451316,160.8676267451316,317.006994706455,607.8424333486053,3.096091025872057,197.37128907667218,645.298554393515,2.997122412371858,249.0978491667978,160.8676267451316,2.215571818246355,392.9986423443608,1156.474775294286,160.8676267451316,6.156217360107876,25.283973044988063,34.29946039570535,1156.474775294286,392.99864234436063,317.006994706455,197.37128907667218,249.0978491667978
8,0.0,0.0,0.0,0.0,0.0,0.0,139.3806444757966,339.84766553706095,156.30405984711044,635.532369859968,845.0368244671134,-209.50445460714548,8.891706226822926,95.03652087806904,144.65656456365855,115.72525165092685,28.931312912731713,14.465656456365855,375.57192198538377,187.78596099269186,-56.093657143120254,144.60209428633368,157.19945693774434,157.19945693774434,357.73438477585364,679.3520970952277,3.466707571969736,174.22580559474574,739.9084924823386,2.635574101144639,260.5067664118507,157.19945693774434,2.5298675435933493,361.5052357158342,1153.9721924982848,157.19945693774434,5.390061911176451,28.490336253377574,36.06701634805977,1153.9721924982848,361.50523571583426,357.73438477585364,174.22580559474574,260.5067664118507
9,0.0,0.0,0.0,0.0,0.0,0.0,120.45633021590079,373.7857091629677,156.8412981014908,651.0833374803592,910.1322785207597,-259.04894104040045,9.151832072708023,99.44809643469036,123.18387826695438,98.54710261356351,24.636775653390877,12.318387826695439,404.5032348981154,202.2516174490577,-75.63683349975656,122.16463142908559,144.60209428633368,144.60209428633368,393.4586412241765,748.0544369297791,3.749304515485161,150.570412769876,835.2794824163016,2.257273103229097,261.40216350248465,144.60209428633368,2.6566206481950045,305.41157857271395,1110.8427960692516,144.60209428633368,4.629010066037074,31.29766016544865,38.27147893435265,1110.8427960692516,305.411578572714,393.4586412241765,150.570412769876,261.40216350248465
10,0.0,0.0,0.0,0.0,0.0,0.0,102.92894813403096,402.96735861135795,149.49777581239653,655.3940825577854,965.5650237408892,-310.17094118310376,9.279055959087428,104.05854086861764,103.98217105111041,83.18573684088834,20.796434210222085,10.39821710511104,429.14001055150635,214.57000527575315,-89.68413048833759,91.90989802918295,122.1646314290856,122.1646314290856,424.1761669593242,814.3458340216027,3.946066170020995,128.6611851675387,931.337598311759,1.8884301552623635,249.16295968732754,122.1646314290856,2.6397654060550826,229.7747450729574,1031.7750568871484,122.1646314290856,3.94188410454254,33.70860290817629,40.87634469174323,1031.7750568871484,229.77474507295744,424.1761669593242,128.6611851675387,249.16295968732754
11,0.0,0.0,0.0,0.0,0.0,0.0,87.13437909951688,427.831377954499,133.09788918240997,648.0636462364258,895.357000713889,-247.29335447746314,9.29544763749147,96.32209610892023,128.0247650582528,102.41981204660225,25.60495301165056,12.802476505825279,397.9364447617284,198.96822238086418,-15.145965923699123,56.03624583384792,91.90989802918295,91.90989802918295,450.34881889947263,878.5841664756439,4.069809642413006,108.91797387439608,1028.0101688381235,1.5556736883817026,221.82981530401662,91.90989802918295,2.492576084606985,140.0906145846198,921.1872226625057,91.90989802918295,3.327429473635533,35.76166754595886,43.85707975293076,921.1872226625057,140.09061458461986,450.34881889947263,108.91797387439608,221.82981530401662
12,0.0,0.0,0.0,0.0,0.0,0.0,99.36272545718516,399.4311914213669,108.38509449047376,607.1790113690258,822.6975453207706,-215.51853395174476,9.257234795532336,88.87076578394829,141.90168887852906,113.52135110282325,28.38033777570581,14.190168887852906,365.64335347589804,182.82167673794902,31.058073097036754,54.63657042892378,56.036245833847914,56.036245833847914,420.45388570670207,945.4227960788331,4.645164773248106,124.20340682148145,1123.9133763562595,1.3713167548604734,180.6418241507896,56.036245833847914,2.3788306080406647,124.94464866092068,850.2437653398944,56.036245833847914,4.09679248186409,33.161370396810696,46.42443827675094,850.2437653398944,124.94464866092073,420.45388570670207,124.20340682148145,180.6418241507896
